id,source,username,date,period,groupe_politique,text,keyword_matches,stance,intensity,target,frame,confidence,notes,depute_name
11,twitter,pycadalen,2025-04-18,P7_cessez_feu,LFI-NFP,"Soutien à toi @RimaHas.

Les défenseurs des libertés sont à tes côtés pour dénoncer l'ignoble intimidation que tu subis. 

D'où vient-elle ? De ce que tu défends le droit des Palestiniens et le droit international.

Juste idéal et justes principes que nous partageons.",['palestiniens' 'palestinien' 'droit international'],,,,,,,
12,twitter,clemence_guette,2025-07-02,P7_cessez_feu,LFI-NFP,"C'est aujourd'hui.

Nous pouvons enfin voter la fin de cet accord entre l’Union européenne et Israël, alors que le génocide se poursuit à Gaza.

Rendez-vous à 15H en direct sur ma chaine Youtube.",['israel' 'gaza' 'genocide'],,,,,,,
13,twitter,hadrienclouet,2025-09-24,P7_cessez_feu,LFI-NFP,"L'énorme mobilisation populaire et syndicale italienne 🇮🇹 force leur gouvernement à dépêcher une frégate militaire pour sécuriser la @gbsumudflotilla.

L'extrême-centre macroniste, lui, toujours à genoux devant Netanyahou.",['netanyahou'],,,,,,,
14,twitter,damienmaudt,2025-07-27,P7_cessez_feu,LFI-NFP,"À nouveau, l'armée Israélienne s'offre le droit de séquestrer des humanitaires et parlementaires.

@EmmanuelMacron, La France doit être respectée, le droit international doit être respecté, mes collègues et l'équipage doivent être libérés.","['israelien' 'israel' 'israelienne' 'armee israelienne'
 'droit international']",,,,,,,
15,twitter,legavrejerome,2025-10-11,P7_cessez_feu,LFI-NFP,"Immense marée humaine à Londres aujourd’hui pour le peuple palestinien qui continue de subir l’occupation et l’oppression, contre la complicité de nos gouvernements avec l’État israélien. 
Les médias n’en disent pas un mot (et pour cause), mais les puissantes manifestations en Grande Bretagne, les grèves et blocages en Italie sont, de fait, un facteur objectif de la situation. 
Elles ont le même contenu. 
Elles confirment que c’est la mobilisation des peuples, des travailleurs, contre leurs gouvernements, qui ouvrira l’issue.
Un immense soutien aux camarades, aux centaines de milliers mobilisés aujourd’hui en Grande Bretagne : leurs combats sont les nôtres !",['israelien' 'israel' 'palestinien' 'occupation'],,,,,,,
16,twitter,emmanfernandes,2025-04-11,P7_cessez_feu,LFI-NFP,"🔴Retrouvez mon communiqué de presse suite aux violences cette semaine contre les étudiant·es mobilisé·es à Sciences Po Strasbourg contre le génocide à Gaza, perpétré par Israël et son gouvernement d'extrême droite",['israel' 'gaza' 'genocide'],,,,,,,
17,twitter,jfcoulomme,2025-12-17,P7_cessez_feu,LFI-NFP,"À @Disclose_ngo nous faisons face à 2 procédures bâillons:  
-Le parquet général a fait appel du non lieu dans l'affaire Egypt Papers : je risque dc un procès  
-Thales nous attaque en diffamation pour avoir révélé ses livraisons en Israël  
disclose.ngo/fr/page/support
cc @AJDPresse",['israel'],,,,,,,
18,twitter,caronaymericoff,2025-04-09,P7_cessez_feu,LFI-NFP,"Ah il ne manquait que le @Le_CRIF et @Yonathan_Arfi, que j’aurais pu citer hier parmi les complices du génocide en cours à Gaza. 
Ils sont toujours là pour justifier les crimes de l’armée israélienne.
Les mots que j’utilise sont validés par les historiens et les spécialistes du sujet, parmi lesquels Omer Bartov.
C’est vous l’ignorant, @Yonathan_Arfi, qui ne connaissez pas bien un sujet qui ne vous autorise pas à préempter des concepts (au passage, preuve de votre ignorance du vocabulaire, Auschwitz était devenu un camp d’extermination, ce n’est pas la même chose qu’un camp de concentration).","['israelien' 'israel' 'gaza' 'israelienne' 'armee israelienne' 'crif'
 'genocide']",,,,,,,
19,twitter,s_legrain,2025-06-11,P7_cessez_feu,LFI-NFP,"« Retenus en Israël » ? 

Ce message est une honte, tout comme la réponse de Bayrou à @MathildePanot 

Vos seuls mots de condamnation sont pour ceux qui se mobilisent pour que VOUS agissiez. 

Vous laissez Netanyahu vous piétiner, comme vous le laissez génocider les palestiniens.",['palestiniens' 'israel' 'palestinien' 'netanyahu' 'genocide'],,,,,,,
20,twitter,pycadalen,2025-06-11,P7_cessez_feu,LFI-NFP,"Cette abomination n'a que trop duré.

Stop au génocide à #Gaza.

Des sanctions doivent être prises par les pays européens pour que tout cela cesse.

Ça suffit !",['gaza' 'genocide'],,,,,,,
21,twitter,gabriellecthl,2025-05-16,P7_cessez_feu,LFI-NFP,"Le Comité spécial de l’ONU chargé d’enquêter sur les pratiques israéliennes affectant les droits de l’Homme des palestiniens alerte sur une seconde #Nakba. 

«Israël continue d'infliger des souffrances inimaginables aux personnes vivant sous son occupation »⤵️","['palestiniens' 'israelien' 'israel' 'israeliennes' 'palestinien'
 'israelienne' 'occupation' 'onu']",,,,,,,
22,twitter,caronaymericoff,2025-08-25,P7_cessez_feu,LFI-NFP,"Massacrés par une seconde frappe sur un hôpital, faite pour assassiner les sauveteurs et les journalistes arrivés juste après la première.
Le génocide continue à Gaza.",['gaza' 'genocide' 'massacre'],,,,,,,
23,twitter,deputee_obono,2025-09-21,P7_cessez_feu,LFI-NFP,"Le « en même temps » macroniste façon Hidalgo. 
Victime et bourreau au même plan, pendant que le génocide continue à #Gaza et la colonisation en Cisjordanie.
La paix sans la justice, c'est-à-dire la continuation de la domination.
La « gauche » coloniale dans toute son indignité.",['gaza' 'cisjordanie' 'genocide' 'colonisation'],,,,,,,
24,twitter,portes_thomas,2025-08-30,P7_cessez_feu,LFI-NFP,Force à @RimaHas et à toutes celles et ceux qui se lèvent contre le génocide pendant que vous pataugez sourire aux lèvres dans le sang des palestiniens assassinés par Israël.,['palestiniens' 'israel' 'palestinien' 'genocide'],,,,,,,
25,twitter,deputee_obono,2025-03-18,P7_cessez_feu,LFI-NFP,"🇵🇸 Le génocide continue à Gaza. Notre mobilisation aussi. 
#CessezLeFeu #FreePalestine",['palestine' 'gaza' 'genocide'],,,,,,,
26,twitter,portes_thomas,2025-05-27,P7_cessez_feu,LFI-NFP,"Pendant que le gouvernement irlandais va présenter un projet de loi visant à interdire l'importation de marchandises en provenance des colonies israéliennes, jugées illégales par l'ONU, en France Bayrou refuse UN DÉBAT sur la situation à Gaza. La honte internationale.","['israelien' 'israel' 'gaza' 'israeliennes' 'israelienne' 'illegal' 'onu'
 'illegale' 'colonies']",,,,,,,
27,twitter,abomangoli,2025-09-24,P7_cessez_feu,LFI-NFP,"L’électoralisme cynique aujourd’hui quand Gaza est un cimetière.
Les diffamations hier contre les voix de la paix quand il fallait participer aux discours supremacistes des soutiens inconditionnels à Israël.",['israel' 'gaza'],,,,,,,
28,twitter,abomangoli,2025-07-26,P7_cessez_feu,LFI-NFP,"🚨 Urgent : des bateaux de l’armée israélienne s’approchent du Handala !

Le bateau de la Flotilla de la Liberté est actuellement menacé en mer alors qu’il tente de briser le blocus de Gaza.

Soutien à l’équipage et à mes collègues insoumises @emma_frr et @GabrielleCthl 

📺 Suivez le direct ici : piped.video/watch?v=A4hF5rA-…",['israelien' 'israel' 'gaza' 'israelienne' 'armee israelienne' 'blocus'],,,,,,,
29,twitter,legavrejerome,2025-04-08,P7_cessez_feu,LFI-NFP,"Le spectacle des visages des enfants assassinés à Gaza provoque les hurlements hystériques des soutiens de Netanyahu et de l’extermination des palestiniens. Pour le ministre de l’Europe, chargé de répondre à Aymeric Caron, ces enfants ne comptent pas : il n’en dit pas un mot. Pour lui, brandir ces photos est une preuve d’antisémitisme.
Les complices n’aiment pas qu’on les mette devant leurs responsabilités.",['palestiniens' 'gaza' 'palestinien' 'netanyahu' 'antisemitisme'],,,,,,,
30,twitter,portes_thomas,2025-05-26,P7_cessez_feu,LFI-NFP,"MOBILISATION PERMANENTE CONTRE LE GÉNOCIDE À GAZA ! 

RDV CE SOIR À 17H !",['gaza' 'genocide'],,,,,,,
31,twitter,segoleneamiot,2025-09-16,P7_cessez_feu,LFI-NFP,"L'offensive de Netanyahou à commencé sur Gaza City. 

Le massacre monte encore d'un cran. La France ne peut plus se cacher les yeux devant le génocide. 

Il faut faire pression sur le gouvernement d'Israël : reconnaissance immédiate de l'état de Palestine, sanctions économiques, suspension de l'accord d'association avec l'Union Européenne, expulsion des ambassadeurs. Et que l'aide humanitaire, enfin, rentre à Gaza.

Rendez-vous ce soir à 17h30 place de la République.","['israel' 'palestine' 'gaza' 'netanyahou' 'genocide' 'aide humanitaire'
 'massacre']",,,,,,,
32,twitter,portes_thomas,2025-09-22,P7_cessez_feu,LFI-NFP,"La reconnaissance de l’état de Palestine doit s’accompagner de sanctions fortes contre l’état israélien qui commet un génocide. 

Nous ne voulons pas un état pour les morts mais un état pour les vivants. 

Rien ne fera oublier la complicité de Macron dans le génocide en cours.",['israelien' 'israel' 'palestine' 'genocide'],,,,,,,
33,twitter,caronaymericoff,2025-04-21,P7_cessez_feu,LFI-NFP,"Dire que reconnaître l’Etat palestinien aujourd’hui serait une « prime au terrorisme » du Hamas est une stupidité doublée d’une hérésie historique.

Ceux qui affirment cela sont les mêmes qui disent que le Hamas veut détruire Israël, et donc refuse la solution à deux États.

La question de la reconnaissance de l’Etat palestinien n’a donc aucun rapport avec les actions du Hamas.

Soit BHL le sait très bien et démontre sa désormais incontestable mauvaise foi (et son mépris réel des Palestiniens, qui n’est pas une découverte), soit il ne le sait pas et démontre une fois de plus sa totale incompétence sur les sujets pour lesquels il est pourtant multi-invité depuis des décennies par des médias complaisants et ignorants.","['palestiniens' 'israel' 'palestinien' 'hamas' 'etat palestinien'
 'solution a deux etats' 'deux etats']",,,,,,,
34,twitter,caronaymericoff,2025-08-27,P7_cessez_feu,LFI-NFP,"L'antisionisme est-il un racisme ou une nécessité politique ?
Avec @alaingresh, @vescovi_thomas, @Meriem_Laribi, animée par @MllerQuentin",['sionisme' 'antisionisme'],,,,,,,
35,twitter,mariemesmeur,2025-11-08,P7_cessez_feu,LFI-NFP,"La paix en Palestine ne viendra que s’il y a justice et réparations pour le peuple palestinien.

Les gouvernements ont failli à cette tâche : les peuples eux se soulèvent contre cet ordre colonial et génocidaire ! 

Nous y parviendrons.🇵🇸",['palestine' 'palestinien'],,,,,,,
36,twitter,deputee_obono,2025-06-13,P7_cessez_feu,LFI-NFP,❌️ Les gouvernements occidentaux n'ignorent pas le #génocide qu'Israel commet à #Gaza. Ils y participent activement. @GretaThunberg a absolument raison quand elle répond qu'un des facteurs explicatifs majeur de leur complicité est leur profond #racisme.,['israel' 'gaza' 'genocide'],,,,,,,
37,twitter,mathildepanot,2025-06-12,P7_cessez_feu,LFI-NFP,"Rima Hassan est libre 💚

La mobilisation continue pour la libération de Yanis Mhamdi et Pascal Maurieras. Elle continue surtout pour mettre fin au génocide à Gaza ! Il y aura autant de bateaux que nécessaire pour briser le blocus illégal.

Rendez-vous samedi 14 juin dans les rues ✊",['gaza' 'illegal' 'genocide' 'blocus'],,,,,,,
38,twitter,hadrienclouet,2025-09-20,P7_cessez_feu,LFI-NFP,"Oui à la reconnaissance de la #Palestine 🇵🇸 lundi par la #France. D'une Palestine libre, souveraine et dotée d'une Défense nationale.

Pas d'un champ de ruines post-génocide.

#Toulouse est anticolonialiste.",['palestine' 'genocide'],,,,,,,
39,twitter,abomangoli,2025-06-04,P7_cessez_feu,LFI-NFP,"🇵🇸 Alors que l’armée israélienne « se prépare » à l’arrivée du navire Flotilla, à bord duquel se trouvent @RimaHas et Greta Thunberg, des experts des Nations unies viennent de demander qu’un passage sécurisé soit garanti.   

Hier soir, des drones de surveillance ont survolé le navire, malgré la présence d’aide humanitaire à bord, destinée à la population de la bande de Gaza.  L’accès du navire doit être assuré et sécurisé. Le droit international humanitaire doit être respecté.

Nos yeux sont sur le Freedom Flotilla. Soutien à Rima Hassan, Greta Thunberg et à tout le reste de l’équipage.","['israelien' 'israel' 'gaza' 'israelienne' 'armee israelienne'
 'bande de gaza' 'droit international' 'nations unies' 'aide humanitaire']",,,,,,,
40,twitter,portes_thomas,2025-08-30,P7_cessez_feu,LFI-NFP,"Tous nos yeux doivent se tourner vers Gaza. 

La phase finale du génocide est en cours. 

Israël s’apprête à raser Gaza. 

Le monde doit se lever pour stopper ce carnage et stopper les génocidaires israéliens.",['israelien' 'israel' 'israeliens' 'gaza' 'genocide'],,,,,,,
41,twitter,portes_thomas,2025-05-25,P7_cessez_feu,LFI-NFP,"Nous parlions de la Palestine bien avant le 7 octobre. 

Nous ne cesserons jamais de nous mobiliser pour défendre les palestiniens. 

Notre boussole c’est l’humanisme.

Chaque jour notre cœur saigne de voir ces enfants massacrés. 

Vous préférez soutenir un gouvernement complice de génocide, c’est votre choix.","['palestiniens' 'palestine' 'palestinien' '7 octobre' 'genocide'
 'massacre']",,,,,,,
42,twitter,legavrejerome,2025-04-15,P7_cessez_feu,LFI-NFP,"La ministre, le MEDEF, la cour des comptes disent tous la même chose aujourd’hui : ils veulent en finir avec la Sécu. 
Maintenu en place par le PS et le RN, ce gouvernement, soutien de fait du génocidaire Netanyahu, partisan de la poursuite de la guerre en Ukraine et de la marche à l’économie de guerre, destructeur des conquêtes sociales : ce gouvernement, oui, est un danger public.",['netanyahu'],,,,,,,
43,twitter,alma_dufour,2025-06-25,P7_cessez_feu,LFI-NFP,"Je disais tout à l’heure qu’il était impossible de se fier à Macron en droit international.

Bayrou le démontre encore ce soir en légitimant l’attaque de l’Iran en violation du droit international sans aucune vision stratégique, sans une parole pour les Iraniens.

Le génocide à Gaza ? ""C’est la faute de Poutine, nous restons solidaires d’Israël"".

George W. Bush était présent parmi nous ce soir.",['israel' 'gaza' 'droit international' 'genocide'],,,,,,,
44,twitter,alma_dufour,2025-06-09,P7_cessez_feu,LFI-NFP,"🚨 ALERTE : La #FreedomFlotilla qui transportait douze civils dont @RimaHas et @GretaThunberg a été illégalement interpellée par les forces israéliennes.

Pour protéger ses passagers et dénoncer cette violation du droit international par Netanyahu, rendez-vous dans la rue ! 🇵🇸","['israelien' 'israel' 'israeliennes' 'netanyahu' 'israelienne' 'illegal'
 'forces israeliennes' 'droit international' 'civils' 'illegale']",,,,,,,
45,twitter,alma_dufour,2025-06-06,P7_cessez_feu,LFI-NFP,J’ai pas compris du coup c’est quoi la saloperie ? Être jumelé avec une ville israélienne en plein génocide ? J’aurais pas employé des mots aussi forts mais je suis contente de voir que vous vous rendiez enfin à la raison 😂,['israelien' 'israel' 'israelienne' 'genocide'],,,,,,,
46,twitter,mathildepanot,2025-10-19,P7_cessez_feu,LFI-NFP,"Sébastien Lecornu a menti. 

Il a affirmé qu'aucune arme n'a été vendue à Israël alors que @Disclose_ngo a révélé que la France a livré « un flux continu » de composants d'armes vers Israël.

Je le redis : Sébastien Lecornu incarne la complicité de la France vis-à-vis du génocide à Gaza.",['israel' 'gaza' 'genocide'],,,,,,,
47,twitter,arnaultraphael,2025-10-10,P7_cessez_feu,LFI-NFP,"Considéré comme le numéro 2 du parti, David Rachline en pleine affaire de « prise illégale d’intérêts » se prend en photo avec toute l’équipe amie de Marine Le Pen et ouvertement fan du IIIème Reich.

Va falloir nettoyer ce pays de tous ces nazis qui prétendent au pouvoir ↙️↙️↙️",['illegal' 'illegale'],,,,,,,
48,twitter,gabriellecthl,2025-06-25,P7_cessez_feu,LFI-NFP,"Déplorant le silence et l'absence de condamnation officielle de l'UE et de la France; 

Rappelant les appels précédents de l'Assemblée pour un accès humanitaire sans entrave à Gaza;",['gaza'],,,,,,,
49,twitter,alma_dufour,2025-06-12,P7_cessez_feu,LFI-NFP,"La #FreedomFlotilla ressuscite le courage en politique.

Elle montre que Gaza ne peut plus être le miroir brisé de l'humanité.

300 camions d'aide humanitaire partent du Maghreb. 150 000 personnes ont rejoint une manifestation organisée en un jour.

Les valeurs des bourgeois sont mortes, mais pas les nôtres !",['gaza' 'aide humanitaire'],,,,,,,
50,twitter,gabriellecthl,2025-12-26,P7_cessez_feu,LFI-NFP,"Depuis le «cessez-le-feu» du 10 octobre, Israël a assassiné 405 Palestiniens à Gaza et en a blessé 1114. Le génocide continue. D’autres ont été tués et blessés en Cisjordanie. 

Plus de 9000 sont détenus sans procès, affamés, torturés. 

Aucun communiqué, aucune sanction.","['palestiniens' 'israel' 'gaza' 'palestinien' 'cisjordanie' 'genocide'
 'cessez-le-feu']",,,,,,,
51,twitter,aurelientache,2025-07-20,P7_cessez_feu,LFI-NFP,"Pour Israël, le droit international n'existe tout simplement plus.",['israel' 'droit international'],,,,,,,
52,twitter,portes_thomas,2025-04-23,P7_cessez_feu,LFI-NFP,"Pourquoi passer sous silence le fait que ce « chanteur » a appelé à « éliminer Gaza » et « ne pas laisser âme qui vive là-bas ».

Des propos qui en France tombent sous le coup de la loi : l'article 211-2 du code pénal, en particulier, punit de sept ans d'emprisonnement et de 100 000 euros d'amende la provocation au génocide.

Ce propagandiste du génocide n’a rien à faire en France et encore moins y tenir un concert.",['gaza' 'genocide'],,,,,,,
53,twitter,jfcoulomme,2025-06-15,P7_cessez_feu,LFI-NFP,"On s'étonne que ce VRP stratège de plateaux du génocidaire Netanyahu n'ai pas encore conseillé à la France d'attaquer à son tour la Russie, dotée de l'arme nucléaire, avec les mêmes raisons qu'invoque Israël pour justifier son attaque de l'Iran...",['israel' 'netanyahu'],,,,,,,
54,twitter,ericcoquerel,2025-08-20,P7_cessez_feu,LFI-NFP,"Le plan de conquête de Gaza par le gouvernement israélien confirme ce que nous disons depuis les premiers jours : le but de guerre de Netanyahu n’a jamais été de venger les massacres du 7 octobre, d’éradiquer le Hamas et encore moins de libérer les otages, mais bien d’annexer Gaza hors tout droit international même au prix d’un genocide","['israelien' 'israel' 'gaza' 'netanyahu' 'hamas' 'gouvernement israelien'
 '7 octobre' 'droit international' 'otage' 'genocide' 'otages' 'massacre']",,,,,,,
55,twitter,jfcoulomme,2025-07-30,P7_cessez_feu,LFI-NFP,Les pays non complices du génocide devront initier une fondation pour ériger un Mémorial du Génocide Palestinien.,['palestinien' 'genocide'],,,,,,,
56,twitter,caronaymericoff,2025-02-15,P7_cessez_feu,LFI-NFP,"À une très grande majorité la rédaction de la chaîne tv France Info réclame le départ du directeur de la chaîne, qui à laissé passer (ou orchestré) des choses inacceptables ces dernières semaines : l’organisation d’un « débat » présentant le nettoyage ethnique à Gaza comme une belle affaire commerciale, ou encore la sanction (laquelle? Licenciement, mise à pied?) contre un red chef dénoncé par une députée porte-parole de Netanyahou.
Le comportement personnel de ce directeur est également mis en cause.
L’information proposée par le service publique doit être honnête et équilibrée, sans influence extérieure.
Ce n’est pas le cas aujourd’hui.",['gaza' 'netanyahou'],,,,,,,
57,twitter,jfcoulomme,2025-06-14,P7_cessez_feu,LFI-NFP,"Macron a décidément vendu la France aux USA et à Israël.
C'est même plus Mac Kinsay qui lui écrit ses mots, c'est direct Trump-Nyahou... quelle ventri-loque !
À la Libération, il nous faudra racheter la Liberté, tellement même ça,  même ELLE, il leur a vendue...",['israel'],,,,,,,
58,twitter,mathildepanot,2025-10-13,P7_cessez_feu,LFI-NFP,"LIBRE ! 🇵🇸

#FreePalestine",['palestine'],,,,,,,
59,twitter,portes_thomas,2025-01-15,P7_cessez_feu,LFI-NFP,"Jeudi à l’ Adidas Arena à Paris, doit se tenir une rencontre entre Paris Basketball et le club israélien Maccabi Tel Aviv pour la 22e journée d’Euroligue.

Ce match doit être annulé.

Alors qu’un génocide est en cours à Gaza, avec plus de 40 000 morts en neuf mois, un bilan sous-évalué qui ne cesse de s’alourdir, nous ne pouvons tolérer qu’un événement sportif se déroule comme si de rien n’était.

Le sport ne peut servir d’opération de blanchiment pour un État coupable de crimes de guerre, de crimes contre l’humanité, de colonisation, d’apartheid, de massacres et de violations du droit international. 

Je tiens à saluer le KOP PARISII, groupe de supporters du Paris Basketball, qui a pris la décision de boycotter cette rencontre. En refusant d’animer ce match, ils montrent qu’ils se placent du bon côté de l’histoire. 

Le sport ne sera jamais neutre.","['israelien' 'israel' 'gaza' 'droit international' 'tel aviv' 'genocide'
 'crimes de guerre' 'colonisation' 'massacre']",,,,,,,
60,twitter,gabriellecthl,2026-01-05,P7_cessez_feu,LFI-NFP,"Selon les sources, entre 40 et 80 personnes ont été tuées par l’agression américaine au Venezuela.

Avant cela, entre 80 et 100 personnes sont mortes sous les bombardements de bateaux en mer depuis septembre 2025.

Mais que vaut la vie de quelques vénézuéliens et cubains pour le service public d’information…",['bombardement' 'bombardements'],,,,,,,
61,twitter,pycadalen,2025-06-21,P7_cessez_feu,LFI-NFP,"It might have been relevant to let Netanyahu's gouvernment know that you think ""dialogue is the only possible way forward"".

And accordingly condemn the preventive and illegal war he engaged.",['netanyahu' 'illegal'],,,,,,,
62,twitter,pycadalen,2025-06-11,P7_cessez_feu,LFI-NFP,"Ne vous cachez pas derrière vos agents.

Le problème c'est votre refus de condamner :
-l'acte de piraterie d'Israël, en dépit du droit international
-l'incarcération illégale de citoyens français, dont une élue de la République
-le blocus de l'aide humanitaire
-le génocide à Gaza","['israel' 'gaza' 'illegal' 'droit international' 'genocide' 'illegale'
 'blocus' 'aide humanitaire']",,,,,,,
63,twitter,abomangoli,2025-09-17,P7_cessez_feu,LFI-NFP,"La neutralité quand un peuple périt sous les bombes d’un gouvernement génocidaire ? 

Le drapeau russe à côté du drapeau ukrainien aussi?

Avec évidemment la rituelle « carte » Soudan et Congo dont ils se foutent. Encore une fois les Noirs sont pris pour des serpillères pour relativiser les horreurs commises en Palestine. 

Rappel sur le « whataboutism » des soutiens inconditionnels d’Israël⤵️

nitter.net/abomangoli/status/1949…",['israel' 'palestine'],,,,,,,
64,twitter,deputee_obono,2025-09-19,P7_cessez_feu,LFI-NFP,"Essayer d'amadouer le bourreau pour qu'il daigne reconnaître à la victime un ersatz de droit d'exister pendant qu'il la violente, ce N'EST PAS aider à la fin du supplice mais la défense du bourreau. Rappelons de quoi on parle quand même.👇🏾
#Gaza #genocide",['gaza' 'genocide'],,,,,,,
65,twitter,pilatorene,2025-07-24,P7_cessez_feu,LFI-NFP,"Oui @mbompard c'est la priorité.
Tous les soutiens inconditionnels sont complices de ce #GazaGenocide .
Tous !",['gaza' 'genocide'],,,,,,,
