bloc,batch,demand,n,total,pct
Droite,NEW_OFFENSIVE,minister_audition,1,205,0.49
Droite,NEW_OFFENSIVE,none,181,205,88.29
Droite,NEW_OFFENSIVE,nuclear_non_proliferation,1,205,0.49
Droite,NEW_OFFENSIVE,oppose_iran,1,205,0.49
Droite,NEW_OFFENSIVE,protection_of_Jews,1,205,0.49
Droite,NEW_OFFENSIVE,protection_of_citizens,1,205,0.49
Droite,NEW_OFFENSIVE,release_hostages,1,205,0.49
Droite,NEW_OFFENSIVE,repatriation,1,205,0.49
Droite,NEW_OFFENSIVE,sanctions,2,205,0.98
Droite,NEW_OFFENSIVE,support_community,1,205,0.49
Droite,NEW_OFFENSIVE,support_for_israel,1,205,0.49
Droite,NEW_OFFENSIVE,support_israel,1,205,0.49
Droite,NEW_OFFENSIVE,support_usa,1,205,0.49
Droite,POST_CIJ,ceasefire,1,32,3.12
Droite,POST_CIJ,cut_funds,1,32,3.12
Droite,POST_CIJ,hostage_release,1,32,3.12
Droite,POST_CIJ,none,29,32,90.62
Droite,POST_SINWAR,ceasefire,1,45,2.22
Droite,POST_SINWAR,end_boycott,1,45,2.22
Droite,POST_SINWAR,hostage_release,1,45,2.22
Droite,POST_SINWAR,humanitarian_aid,1,45,2.22
Droite,POST_SINWAR,none,41,45,91.11
Droite,RAFAH,ceasefire,2,73,2.74
Droite,RAFAH,hostage_release,4,73,5.48
Droite,RAFAH,none,66,73,90.41
Droite,RAFAH,support_for_france_flag,1,73,1.37
Gauche moderee,CEASEFIRE_BREACH,UNRWA_support,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,accountability,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,arms_export_control,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,ceasefire,4,76,5.26
Gauche moderee,CEASEFIRE_BREACH,ceasefire_extension,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,condemnation,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,diplomatic_action,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,human_rights,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,humanitarian_aid,2,76,2.63
Gauche moderee,CEASEFIRE_BREACH,immediate_release,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,international_law,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,international_pressure,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,journalistic_integrity,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,legal_accountability,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,maintain_aid,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,none,33,76,43.42
Gauche moderee,CEASEFIRE_BREACH,oppose_humanitarian_aid_cut,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,peace,2,76,2.63
Gauche moderee,CEASEFIRE_BREACH,political_solution,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,protect_refugees,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,protection_minorities,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,recognize_state_of_palestine,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,reconstruction,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,refugees_welcome,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,research_support,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,sanctions,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,sanctions_colonization,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,state_formation,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,state_recognition,5,76,6.58
Gauche moderee,CEASEFIRE_BREACH,support_UNRWA,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,suspend_EU_agreement,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,suspend_agreement_with_israel,1,76,1.32
Gauche moderee,CEASEFIRE_BREACH,two_state_solution,3,76,3.95
Gauche moderee,CHOC,['ceasefire' 'hostage_release'],1,214,0.47
Gauche moderee,CHOC,['ceasefire' 'peace'],1,214,0.47
Gauche moderee,CHOC,['ceasefire'],8,214,3.74
Gauche moderee,CHOC,['peace_talks'],1,214,0.47
Gauche moderee,CHOC,['urgent_action'],1,214,0.47
Gauche moderee,CHOC,[],6,214,2.8
Gauche moderee,CHOC,border_opening,1,214,0.47
Gauche moderee,CHOC,ceasefire,58,214,27.1
Gauche moderee,CHOC,children_assistance,1,214,0.47
Gauche moderee,CHOC,civil_protection,1,214,0.47
Gauche moderee,CHOC,condemn_hamas,1,214,0.47
Gauche moderee,CHOC,condemn_hamas_attack,1,214,0.47
Gauche moderee,CHOC,diplomatic_solution,1,214,0.47
Gauche moderee,CHOC,end_apartheid,1,214,0.47
Gauche moderee,CHOC,end_blockade,1,214,0.47
Gauche moderee,CHOC,end_of_colonization,1,214,0.47
Gauche moderee,CHOC,hostage_release,8,214,3.74
Gauche moderee,CHOC,humanitarian_access,1,214,0.47
Gauche moderee,CHOC,humanitarian_ceasefire,2,214,0.93
Gauche moderee,CHOC,humanitarian_corridor,1,214,0.47
Gauche moderee,CHOC,humanitarian_corridors,2,214,0.93
Gauche moderee,CHOC,humanitarian_pause,3,214,1.4
Gauche moderee,CHOC,humanitarian_respect,1,214,0.47
Gauche moderee,CHOC,humanitarian_truce,1,214,0.47
Gauche moderee,CHOC,liberation,1,214,0.47
Gauche moderee,CHOC,lift_blockade,3,214,1.4
Gauche moderee,CHOC,lift_siege,1,214,0.47
Gauche moderee,CHOC,none,89,214,41.59
Gauche moderee,CHOC,peace,1,214,0.47
Gauche moderee,CHOC,peace_process,4,214,1.87
Gauche moderee,CHOC,peace_solution,1,214,0.47
Gauche moderee,CHOC,political_solution,1,214,0.47
Gauche moderee,CHOC,protection_civilians,1,214,0.47
Gauche moderee,CHOC,protection_of_civilians,1,214,0.47
Gauche moderee,CHOC,recognition_rights,1,214,0.47
Gauche moderee,CHOC,sanctions,2,214,0.93
Gauche moderee,CHOC,state_sovereignty,1,214,0.47
Gauche moderee,CHOC,two_state_solution,3,214,1.4
Gauche moderee,MANDATS_CPI,BDS,1,38,2.63
Gauche moderee,MANDATS_CPI,ceasefire,3,38,7.89
Gauche moderee,MANDATS_CPI,end_arms_deliveries,1,38,2.63
Gauche moderee,MANDATS_CPI,end_association_agreement,1,38,2.63
Gauche moderee,MANDATS_CPI,end_of_massacre,1,38,2.63
Gauche moderee,MANDATS_CPI,halt_arms_shipments,1,38,2.63
Gauche moderee,MANDATS_CPI,humanitarian_aid,2,38,5.26
Gauche moderee,MANDATS_CPI,icc_support,1,38,2.63
Gauche moderee,MANDATS_CPI,international_action,1,38,2.63
Gauche moderee,MANDATS_CPI,justice_for_victims,1,38,2.63
Gauche moderee,MANDATS_CPI,none,14,38,36.84
Gauche moderee,MANDATS_CPI,open_gaza,1,38,2.63
Gauche moderee,MANDATS_CPI,pressure_on_israel,1,38,2.63
Gauche moderee,MANDATS_CPI,prevent_application,1,38,2.63
Gauche moderee,MANDATS_CPI,respect_international_law,1,38,2.63
Gauche moderee,MANDATS_CPI,sanctions,1,38,2.63
Gauche moderee,MANDATS_CPI,state_recognition,2,38,5.26
Gauche moderee,MANDATS_CPI,stop_crimes,1,38,2.63
Gauche moderee,MANDATS_CPI,stop_genocide,1,38,2.63
Gauche moderee,MANDATS_CPI,support_humanitarian_action,1,38,2.63
Gauche moderee,MANDATS_CPI,suspend_ue_israel_agreement,1,38,2.63
Gauche moderee,NEW_OFFENSIVE,EU_sanctions,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,accessibility,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,arms_embargo,8,160,5.0
Gauche moderee,NEW_OFFENSIVE,cease_imports_from_settlements,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,ceasefire,13,160,8.12
Gauche moderee,NEW_OFFENSIVE,civil_support,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,crew_release,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,defend_human_rights,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,defend_international_law,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,denounce_genocide,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,diplomatic_negotiations,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,embargo,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,end_blockade,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,genocide_denunciation,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,hostage_release,6,160,3.75
Gauche moderee,NEW_OFFENSIVE,human_rights,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,humanitarian_aid,5,160,3.12
Gauche moderee,NEW_OFFENSIVE,humanitarian_corridors,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,justice,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,none,68,160,42.5
Gauche moderee,NEW_OFFENSIVE,peace,2,160,1.25
Gauche moderee,NEW_OFFENSIVE,prevent_genocide,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,product_embargo,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,protection_civilians,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,respect_international_law,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,sanctions,8,160,5.0
Gauche moderee,NEW_OFFENSIVE,sanctions_against_Israel,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,state_recognition,17,160,10.62
Gauche moderee,NEW_OFFENSIVE,stop_genocide,2,160,1.25
Gauche moderee,NEW_OFFENSIVE,stop_support,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,student_support,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,support_palestinian_freedom,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,suspend_EU_agreement,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,suspend_agreement,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,suspension_agreement,2,160,1.25
Gauche moderee,NEW_OFFENSIVE,suspension_cooperation,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,trade_embargo,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,two_state_solution,1,160,0.62
Gauche moderee,NEW_OFFENSIVE,visa_refusal,1,160,0.62
Gauche moderee,POST_CIJ,CPI_investigation,3,62,4.84
Gauche moderee,POST_CIJ,CPI_involvement,1,62,1.61
Gauche moderee,POST_CIJ,arms_embargo,1,62,1.61
Gauche moderee,POST_CIJ,arms_stoppage,1,62,1.61
Gauche moderee,POST_CIJ,ceasefire,23,62,37.1
Gauche moderee,POST_CIJ,de-escalation,1,62,1.61
Gauche moderee,POST_CIJ,funding,1,62,1.61
Gauche moderee,POST_CIJ,hostage_release,2,62,3.23
Gauche moderee,POST_CIJ,humanitarian_aid,4,62,6.45
Gauche moderee,POST_CIJ,humanitarian_aid_increase,1,62,1.61
Gauche moderee,POST_CIJ,icc_action,1,62,1.61
Gauche moderee,POST_CIJ,international_law,1,62,1.61
Gauche moderee,POST_CIJ,justice,1,62,1.61
Gauche moderee,POST_CIJ,lift_blockade,1,62,1.61
Gauche moderee,POST_CIJ,lifting_blockade,1,62,1.61
Gauche moderee,POST_CIJ,none,14,62,22.58
Gauche moderee,POST_CIJ,recognition_state,1,62,1.61
Gauche moderee,POST_CIJ,return_of_hostages,1,62,1.61
Gauche moderee,POST_CIJ,state_recognition,1,62,1.61
Gauche moderee,POST_CIJ,stop_arms_delivery,1,62,1.61
Gauche moderee,POST_CIJ,two_state_solution,1,62,1.61
Gauche moderee,POST_SINWAR,arms_delivery,1,8,12.5
Gauche moderee,POST_SINWAR,international_pressure,2,8,25.0
Gauche moderee,POST_SINWAR,media_accountability,1,8,12.5
Gauche moderee,POST_SINWAR,none,2,8,25.0
Gauche moderee,POST_SINWAR,sanctions,1,8,12.5
Gauche moderee,POST_SINWAR,state_recognition,1,8,12.5
Gauche moderee,RAFAH,ICC_action,1,130,0.77
Gauche moderee,RAFAH,UNRWA_recognition,1,130,0.77
Gauche moderee,RAFAH,arms_embargo,1,130,0.77
Gauche moderee,RAFAH,boycott,2,130,1.54
Gauche moderee,RAFAH,ceasefire,19,130,14.62
Gauche moderee,RAFAH,criminal_prosecution,1,130,0.77
Gauche moderee,RAFAH,diplomatic_sanctions,1,130,0.77
Gauche moderee,RAFAH,economic_sanctions,1,130,0.77
Gauche moderee,RAFAH,end_genocide,1,130,0.77
Gauche moderee,RAFAH,end_violence,1,130,0.77
Gauche moderee,RAFAH,eu_agreement_denunciation,1,130,0.77
Gauche moderee,RAFAH,genocide_denunciation,1,130,0.77
Gauche moderee,RAFAH,genocide_investigation,1,130,0.77
Gauche moderee,RAFAH,genocide_recognition,1,130,0.77
Gauche moderee,RAFAH,hostage_release,4,130,3.08
Gauche moderee,RAFAH,icc_arrest_warrants,1,130,0.77
Gauche moderee,RAFAH,international_trials,1,130,0.77
Gauche moderee,RAFAH,journalist_protection,1,130,0.77
Gauche moderee,RAFAH,none,48,130,36.92
Gauche moderee,RAFAH,product_ban,1,130,0.77
Gauche moderee,RAFAH,sanctions,7,130,5.38
Gauche moderee,RAFAH,solidarity,2,130,1.54
Gauche moderee,RAFAH,solidarity_action,1,130,0.77
Gauche moderee,RAFAH,state_recognition,26,130,20.0
Gauche moderee,RAFAH,support,1,130,0.77
Gauche moderee,RAFAH,support_for_palestine,1,130,0.77
Gauche moderee,RAFAH,support_for_palestinians,1,130,0.77
Gauche moderee,RAFAH,war_crimes_prosecution,1,130,0.77
Gauche moderee,RAFAH,war_criminals_prosecution,1,130,0.77
Gauche radicale,CEASEFIRE_BREACH, Palestinian_return,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,EU_agreement_suspension,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,French_contribution,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,International_Court_competence,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,UNRWA_support,2,544,0.37
Gauche radicale,CEASEFIRE_BREACH,UN_meeting,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,access_to_healthcare,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,accountability,3,544,0.55
Gauche radicale,CEASEFIRE_BREACH,action_against_israel,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,action_france,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,ambassador_expulsion,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,application_of_law,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,apply_arrest_warrants,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,apply_international_law,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,arms_embargo,4,544,0.74
Gauche radicale,CEASEFIRE_BREACH,arrest_warrant,2,544,0.37
Gauche radicale,CEASEFIRE_BREACH,awareness,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,balanced_media_coverage,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,ban_on_propaganda,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,boycott,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,boycott_RMC,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,boycott_book,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,boycott_decriminalization,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,boycott_israel,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,cease_massacre,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,ceasefire,27,544,4.96
Gauche radicale,CEASEFIRE_BREACH,child_repatriation,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,consultation_with_public,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,continuation_of_fight,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,defense_of_rights,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,defense_rights_palestinians,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,denounce_genocide,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,denunciation_genocide,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,denunciation_of_genocide,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,dignity,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,diplomacy,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,diplomatic_action,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,diplomatic_sanctions,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,director_resignation,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,doctor_release,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,donation_collective,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,economic_sanctions,1,544,0.18
Gauche radicale,CEASEFIRE_BREACH,education_on_palestine,1,544,0.18
